id,name,team,position,age,height_cm,total_points,avg_per_match,attack_pts,attack_eff,attack_avg,block_pts,block_eff,block_avg,serve_pts,serve_eff,serve_avg
114422,Robertlandy Simon Aties,CUBA,CENTRAL,39,208,80,10.00,55,67.07%,6.88,20,24.69%,2.50,5,4.31%,0.62
114957,Tine Urnaut,ESLOVENIA,PUNTA RECEPTOR,38,200,60,5.45,56,37.84%,5.09,2,6.25%,0.18,2,2.22%,0.18
114962,Alen Pajenk,ESLOVENIA,CENTRAL,40,203,64,4.27,47,65.28%,3.13,12,15.38%,0.80,5,4.27%,0.33
117457,Luciano De Cecco,-,ARMADOR,38,194,11,1.38,4,100%,0.50,4,26.67%,0.50,3,3.80%,0.38
118893,Matthew Anderson,ESTADOS UNIDOS,PUNTA RECEPTOR,39,202,197,13.13,165,50.93%,11.00,16,17.98%,1.07,16,8.21%,1.07
119437,Matthias Valkiers,BÉLGICA,ARMADOR,36,195,5,0.42,4,44.44%,0.33,0,0.00%,0.00,1,0.97%,0.08
119454,Seppe Baetens,BÉLGICA,PUNTA RECEPTOR,37,191,20,1.67,15,34.88%,1.25,2,13.33%,0.17,3,5.08%,0.25
119646,Wilfredo Leon Venero,POLONIA,PUNTA RECEPTOR,33,201,129,14.33,97,53.30%,10.78,13,35.14%,1.44,19,14.62%,2.11
119732,Erik Shoji,ESTADOS UNIDOS,LÍBERO,37,184,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
124286,Stijn D'Hulst,BÉLGICA,ARMADOR,35,187,2,0.50,0,0.00%,0.00,0,0.00%,0.00,2,2.94%,0.50
124439,Daoshuai Ji,CHINA,PUNTA RECEPTOR,34,194,2,0.50,2,20.00%,0.50,0,0.00%,0.00,0,0.00%,0.00
124879,Micah Christenson,ESTADOS UNIDOS,ARMADOR,33,198,26,2.36,9,50.00%,0.82,11,15.71%,1.00,6,3.77%,0.55
124911,Nikola Jovović,SERBIA,ARMADOR,34,197,0,0.00,0,-,-,0,0.00%,0.00,0,0.00%,0.00
125047,Martin Ramos,ARGENTINA,CENTRAL,35,197,33,2.75,25,56.82%,2.08,6,9.68%,0.50,2,3.92%,0.17
132361,Yonder Roman Garcia Alvarez,CUBA,LÍBERO,33,175,0,0.00,0,-,-,0,-,-,0,-,-
132948,Trevor Clevenot,-,PUNTA RECEPTOR,32,199,93,11.62,82,46.07%,10.25,9,21.43%,1.12,2,2.00%,0.25
135349,Franco Massimino,ARGENTINA,LÍBERO,38,177,0,0.00,0,-,-,0,-,-,0,-,-
135890,Martijn Colson,BÉLGICA,CENTRAL,32,203,10,2.50,7,50.00%,1.75,3,16.67%,0.75,0,0.00%,0.00
136441,Ruben Schott,-,LÍBERO,32,193,0,0.00,0,-,-,0,-,-,0,0.00%,0.00
136442,Jan Zimmermann,ALEMANIA,ARMADOR,33,190,13,1.08,3,18.75%,0.25,5,10.42%,0.42,5,3.52%,0.42
